frame,filament_id,z,y,x
6,1,0.0,43.2,49.8
7,1,0.0,45.114285714285714,48.0
8,1,0.0,45.4390243902439,46.02439024390244
9,1,0.0,45.857142857142854,46.795918367346935
9,2,1.0,42.714285714285715,47.42857142857143
9,3,1.0,45.6,43.6
10,1,0.0,44.56521739130435,47.67391304347826
10,2,1.0,39.833333333333336,44.833333333333336
10,3,1.0,46.0,45.0
11,1,0.0,46.666666666666664,47.6078431372549
11,3,1.0,50.857142857142854,41.42857142857143
12,1,0.0,46.48888888888889,46.84444444444444
12,3,1.0,43.57142857142857,48.57142857142857
12,4,1.0,47.35294117647059,42.35294117647059
13,3,0.0,42.86666666666667,46.06666666666667
13,4,1.0,42.57142857142857,43.857142857142854
14,3,0.0,44.86363636363637,47.40909090909091
14,4,1.0,44.0,43.714285714285715
15,3,0.0,47.83870967741935,47.064516129032256
15,4,1.0,44.625,46.25
15,5,1.0,48.375,43.75
16,4,1.0,47.2,42.0
16,5,0.0,48.83870967741935,44.74193548387097
17,4,1.0,47.857142857142854,45.42857142857143
17,5,0.0,51.03225806451613,45.483870967741936
19,7,0.0,46.77272727272727,65.18181818181819
19,8,1.0,43.75,62.666666666666664
20,7,0.0,47.9,64.0
20,8,1.0,46.2,61.9
21,7,0.0,50.26923076923077,70.34615384615384
21,8,1.0,44.833333333333336,64.83333333333333
21,9,2.0,42.166666666666664,61.5
22,7,0.0,48.608695652173914,68.52173913043478
22,8,0.0,42.166666666666664,63.833333333333336
22,9,1.0,47.333333333333336,69.16666666666667
22,10,2.0,41.833333333333336,61.0
23,8,0.0,43.23529411764706,66.11764705882354
23,9,2.0,38.5,62.75
23,10,1.0,43.166666666666664,64.83333333333333
24,9,2.0,42.8,59.6
24,10,0.0,43.25,62.75
25,10,0.0,46.92857142857143,61.857142857142854
26,10,0.0,48.4,60.3
27,10,0.0,51.61538461538461,59.38461538461539
28,10,0.0,53.666666666666664,58.888888888888886
28,12,1.0,49.0,56.2
29,10,0.0,52.53333333333333,58.333333333333336
29,12,1.0,50.142857142857146,56.142857142857146
30,10,0.0,50.23809523809524,58.333333333333336
31,10,0.0,48.63636363636363,60.72727272727273
32,10,0.0,47.75,60.75
33,10,0.0,47.333333333333336,62.03703703703704
34,10,0.0,48.625,61.9375
34,14,1.0,45.333333333333336,58.888888888888886
35,10,0.0,52.0,61.857142857142854
35,14,0.0,47.0,59.166666666666664
35,15,1.0,48.57142857142857,58.42857142857143
36,10,0.0,54.54545454545455,61.54545454545455
36,15,0.0,51.0,59.166666666666664
37,10,0.0,57.11764705882353,62.588235294117645
37,15,0.0,52.625,59.375
38,10,0.0,56.8,60.1
39,10,0.0,55.25,59.5
40,10,0.0,49.22222222222222,58.666666666666664
40,19,0.0,52.44444444444444,61.0
40,20,0.0,54.166666666666664,65.33333333333333
41,19,0.0,51.36363636363637,61.18181818181818
41,20,0.0,54.166666666666664,67.33333333333333
42,19,0.0,49.666666666666664,69.33333333333333
42,20,0.0,49.0,66.5
43,19,0.0,50.916666666666664,68.83333333333333
44,19,0.0,53.5,71.7
46,24,0.0,59.53846153846154,66.38461538461539
47,24,0.0,59.05882352941177,65.05882352941177
48,24,0.0,58.588235294117645,63.588235294117645
